subject,relation,object
重力低,解释,密度
地形校正,校正,重力
重力,解释,高次导数法
布格校正,校正,重力
莫霍面,校正,重力
地形校正,影响,局部异常
重力,校正,均衡异常
重力,属于,矿体
重力,反映,重力异常
重力,校正,局部异常
重力,解释,岩盐
密度,影响,莫霍面
密度,用于,重力异常
地幔,产生,重力异常
重力,解释,断裂
重力测量,产生,引力
重力异常,包含,等值线图
重力,包含,断层
密度,产生,地形校正
重力,测量,重力异常
重力,校正,密度
中间层校正,校正,布格校正
矿体,正演,密度
重力,包含,局部异常
重力异常,解释,局部异常
地层,测量,密度
重力测量,测量,断层
布格异常,测量,布格校正
密度,延拓,重力
密度,影响,布格异常
重力异常,测量,高度校正
重力测量,测量,重力仪
重力,测量,非金属矿
地核,产生,引力场
重力,包含,密度
密度,包含,重力测量
重力,包含,矿体
沉积岩,产生,重力
重力,影响,重力异常
重力,包含,地壳
延拓,产生,重力
重力测量,校正,梯度
剩余异常,反映,重力
梯度,测量,重力仪
重力,包含,延拓
矿体,测量,重力异常
重力,产生,梯度
密度,测量,重力高
重力,反演,矿体
矿体,影响,地幔
布格异常,影响,地幔
地壳,影响,重力
密度,解释,地层
地壳,反映,密度
重力测量,测量,密度
均衡异常,反映,密度
重力测量,测量,矿体
梯度,反映,密度
重力,校正,高度校正
重力异常,测量,重力测量
引力,测量,密度
密度,用于,地层
地壳,产生,断裂
重力,反映,地槽区
布格异常,解释,剩余异常
梯度,测量,密度
密度,包含,地幔
引力,产生,重力
重力测量,产生,重力异常
布格校正,校正,密度
布格异常,包含,密度
地层,产生,重力
重力,测量,布格异常
布格异常,包含,矿体
梯度,影响,重力仪
密度,测量,中间层校正
重力,测量,地层
重力,用于,重力异常
重力测量,校正,地形校正
重力异常,测量,中间层校正
矿体,包含,地壳
布格异常,包含,地壳
重力,校正,引力
莫霍面,校正,地壳
区域异常,产生,重力
重力测量,测量,盆地
地层,产生,重力异常
重力,产生,地形校正
区域异常,产生,重力异常
重力,包含,高次导数法
褶皱,产生,重力异常
重力异常,测量,布格校正
重力高带,产生,密度
重力测量,包含,金属矿
局部异常,产生,梯度
局部异常,产生,等值线图
地层,解释,盆地
密度,测量,重力
盆地,产生,重力异常
重力,正演,重力异常
重力,包含,重力测量
密度,产生,矿体
地壳,校正,重力
密度,产生,地壳
重力测量,测量,引力
梯度,解释,密度
盆地,测量,密度
重力异常,产生,重力梯级带
地壳,产生,重力异常
重力仪,反映,梯度
重力异常,校正,高度校正
均衡异常,解释,地壳
延拓,测量,重力异常
重力异常,产生,梯度
重力,解释,地层
重力测量,测量,断裂
梯度,用于,密度
密度,影响,重力
梯度,测量,引力
重力,用于,地层
地壳,产生,褶皱
重力异常,用于,区域异常
梯度,测量,断裂
梯度,测量,重力测量
矿体,正演,重力异常
梯度,解释,盆地
重力,测量,中间层校正
断裂,产生,重力异常
重力,测量,金属矿
高度校正,校正,布格校正
断裂,影响,矿体
重力测量,校正,重力仪
重力,产生,断层
重力异常,产生,地形校正
重力,测量,布格校正
金属矿,用于,岩体
重力,产生,均衡异常
密度,校正,中间层校正
地幔,产生,重力
密度,用于,重力
地核,反映,密度
重力,用于,岩体
高度校正,校正,重力异常
重力,产生,局部异常
布格校正,产生,重力
重力异常,校正,中间层校正
盆地,产生,地层
莫霍面,产生,重力
重力仪,测量,梯度
密度,产生,引力
重力,测量,重力位
重力测量,校正,密度
矿体,包含,地幔
布格异常,包含,地幔
重力,反演,重力异常
重力,解释,重力测量
区域异常,解释,剩余异常
重力测量,产生,梯度
重力,产生,密度
密度,校正,布格校正
重力,产生,矿体
重力,包含,非金属矿
重力异常,校正,布格校正
重力,产生,地壳
高次导数法,用于,区域异常
密度,校正,重力
重力,解释,区域异常
梯度,测量,重力异常
密度,测量,重力低
重力,正演,岩体
区域异常,产生,等值线图
重力测量,测量,非金属矿
地幔,影响,莫霍面
地壳,影响,断裂
等值线图,产生,局部异常
重力,用于,区域异常
矿体,测量,重力
重力异常,包含,重力测量
岩浆,产生,密度
盆地,产生,重力高
局部异常,用于,岩体
重力,产生,重力梯级带
梯度,测量,非金属矿
密度,影响,地壳
局部异常,测量,重力
梯度,包含,地壳
地形校正,校正,局部异常
重力,测量,断层
布格异常,延拓,延拓
重力异常,产生,断层
岩体,产生,重力
区域异常,影响,重力异常
重力,延拓,延拓
地幔,影响,布格异常
重力,解释,重力异常
重力异常,产生,均衡异常
重力测量,校正,引力
地形校正,校正,密度
重力异常,产生,局部异常
重力测量,测量,布格异常
重力测量,测量,地层
地幔,产生,密度
重力,产生,引力
