subject,relation,object
参考椭球体,定义或关联,重力
重力,单位为,km
重力日变,单位为,g.u.
重力,单位为,g.u.
测点,用于修正,重力
沉积岩,引起,重力异常
重力异常,作用于,沉积岩
重力异常,作用于,石油
重力,作用于,矿体
矿体,引起,重力
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
重力,单位为,g.u.
重力异常,作用于,金属矿
重力异常,单位为,g.u.
测点,用于修正,重力异常
地形校正,定义或关联,重力异常
地形校正,定义或关联,重力
测点,用于修正,重力
重力,作用于,地壳
重力,单位为,g.u.
地壳,引起,重力
中间层校正,定义或关联,重力
中间层校正,定义或关联,重力
布格校正,定义或关联,重力
重力,单位为,g.u.
测点,用于修正,重力
重力,作用于,矿体
矿体,引起,重力
测点,用于修正,重力
测点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
重力异常,作用于,地壳
地壳,引起,重力异常
地形校正,定义或关联,重力异常
布格校正,定义或关联,重力异常
地形校正,定义或关联,重力异常
重力异常,单位为,g.u.
中间层校正,定义或关联,重力异常
测点,用于修正,重力
布格校正,定义或关联,布格重力异常
测点,用于修正,布格重力异常
布格校正,定义或关联,重力
测点,用于修正,重力
基点,用于修正,布格重力异常
基点,用于修正,重力
布格校正,定义或关联,重力异常
重力异常,单位为,g.u.
地形校正,定义或关联,重力异常
重力异常,作用于,地壳
地壳,引起,重力异常
均衡校正,定义或关联,重力异常
测点,用于修正,重力异常
布格校正,定义或关联,重力异常
布格校正,定义或关联,重力
布格校正,定义或关联,重力异常
布格校正,定义或关联,重力
布格校正,定义或关联,重力
沉积岩,引起,重力异常
地壳,引起,重力异常
重力异常,作用于,地壳
重力异常,作用于,沉积岩
重力,作用于,地壳
地壳,引起,重力
重力,单位为,g.u.
重力异常,单位为,g.u.
重力,单位为,g.u.
沉积岩,引起,重力
重力,作用于,沉积岩
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
沉积岩,引起,重力
重力,作用于,沉积岩
重力异常,作用于,矿体
矿体,引起,重力异常
测点,用于修正,重力
重力,作用于,地壳
重力,单位为,km
地壳,引起,重力
重力,作用于,矿体
矿体,引起,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力异常
测点,用于修正,重力
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
重力异常,作用于,地壳
地壳,引起,重力异常
地壳,引起,布格重力异常
布格重力异常,作用于,地壳
重力,单位为,km
重力,作用于,地壳
重力异常,作用于,地壳
地壳,引起,重力异常
地壳,引起,布格重力异常
地壳,引起,重力
布格重力异常,作用于,地壳
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
地壳,引起,重力异常
重力异常,作用于,地壳
地壳,引起,布格重力异常
布格重力异常,作用于,地壳
重力异常,作用于,地壳
地壳,引起,重力异常
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,石油
重力,作用于,石油
重力,单位为,g/cm3
矿体,引起,重力
重力,作用于,岩体
重力,作用于,矿体
重力,作用于,金属矿
岩体,引起,重力
重力,作用于,金属矿
重力,作用于,金属矿
重力,作用于,矿体
矿体,引起,重力
重力,作用于,矿体
矿体,引起,重力
重力,单位为,g/cm3
重力,作用于,矿体
矿体,引起,重力
重力异常,作用于,矿体
矿体,引起,重力异常
重力,作用于,矿体
矿体,引起,重力
重力,单位为,g.u.
重力,单位为,m/s2
重力,单位为,g.u.
重力,单位为,m/s2
测点,用于修正,重力
重力,单位为,g.u.
重力,单位为,g.u.
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
地形校正,定义或关联,重力
地形校正,定义或关联,重力异常
地形校正,定义或关联,布格重力异常
地形校正,定义或关联,重力
中间层校正,定义或关联,重力异常
中间层校正,定义或关联,布格重力异常
中间层校正,定义或关联,重力
重力异常,作用于,地壳
地壳,引起,布格重力异常
地壳,引起,重力异常
均衡校正,定义或关联,重力异常
均衡校正,定义或关联,布格重力异常
布格重力异常,作用于,地壳
重力,作用于,石油
重力,单位为,g.u.
重力,单位为,g.u.
重力,单位为,g.u.
重力,单位为,m/s2
重力,单位为,g.u.
测点,用于修正,重力
基点,用于修正,重力
重力,作用于,石油
重力,作用于,金属矿
岩体,引起,重力
重力,作用于,岩体
测点,用于修正,重力
重力,作用于,地壳
地壳,引起,重力
重力,作用于,金属矿
测点,用于修正,重力
测点,用于修正,重力
重力,作用于,金属矿
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
基点,用于修正,日变
测点,用于修正,重力
测点,用于修正,重力
中间层校正,定义或关联,重力
测点,用于修正,重力
基点,用于修正,重力
地形校正,定义或关联,重力
地形校正,定义或关联,重力
重力,作用于,石油
重力,作用于,石油
重力,单位为,km
地形校正,定义或关联,重力
重力,单位为,g/cm3
测点,用于修正,重力
测点,用于修正,重力
地形校正,定义或关联,重力
重力,作用于,石油
重力,作用于,石油
测点,用于修正,重力
矿体,引起,重力
重力,作用于,岩体
重力,作用于,矿体
重力,作用于,金属矿
重力,作用于,石油
岩体,引起,重力
重力异常,作用于,矿体
矿体,引起,重力异常
测点,用于修正,重力
重力,作用于,石油
重力,作用于,石油
重力,作用于,地壳
地壳,引起,重力
重力,单位为,km
重力异常,单位为,km
重力,单位为,km
重力异常,单位为,km
重力,单位为,km
重力,单位为,km
重力异常,单位为,km
重力,单位为,km
重力,作用于,地壳
地壳,引起,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
基点,用于修正,重力
重力,作用于,金属矿
基点,用于修正,重力
测点,用于修正,重力异常
基点,用于修正,重力异常
测点,用于修正,重力
基点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
地形校正,定义或关联,重力
地形校正,定义或关联,重力
地形校正,定义或关联,重力
测点,用于修正,重力
地形校正,定义或关联,重力
测点,用于修正,重力
重力,作用于,金属矿
重力,单位为,km
重力,单位为,km
测点,用于修正,重力异常
测点,用于修正,重力
中间层校正,定义或关联,重力异常
中间层校正,定义或关联,重力
基点,用于修正,重力异常
基点,用于修正,重力
测点,用于修正,重力
布格校正,定义或关联,重力
中间层校正,定义或关联,重力
重力异常,单位为,g/cm3
重力异常,作用于,地壳
地壳,引起,重力异常
重力,单位为,g/cm3
测点,用于修正,重力
测点,用于修正,重力
测点,用于修正,重力
基点,用于修正,重力
重力异常,作用于,地壳
地壳,引起,重力异常
重力,单位为,g/cm3
重力,作用于,地壳
地壳,引起,重力
地形校正,定义或关联,重力异常
地形校正,定义或关联,布格重力异常
地形校正,定义或关联,重力异常
布格校正,定义或关联,布格重力异常
布格校正,定义或关联,重力异常
中间层校正,定义或关联,重力异常
中间层校正,定义或关联,布格重力异常
重力,单位为,g/cm3
布格校正,定义或关联,重力
测点,用于修正,重力
布格校正,定义或关联,布格重力异常
测点,用于修正,布格重力异常
布格校正,定义或关联,重力
测点,用于修正,重力
基点,用于修正,布格重力异常
基点,用于修正,重力
布格校正,定义或关联,重力异常
布格校正,定义或关联,重力
布格校正,定义或关联,重力异常
布格校正,定义或关联,重力
布格校正,定义或关联,重力
测点,用于修正,重力异常
均衡校正,定义或关联,重力异常
均衡校正,定义或关联,布格重力异常
中间层校正,定义或关联,重力
中间层校正,定义或关联,重力异常
重力,单位为,km
重力,作用于,地壳
地壳,引起,重力
地形校正,定义或关联,重力异常
地形校正,定义或关联,重力
中间层校正,定义或关联,重力
中间层校正,定义或关联,重力异常
地形校正,定义或关联,重力异常
测点,用于修正,重力
布格校正,定义或关联,重力
测点,用于修正,重力
测点,用于修正,重力
测点,用于修正,重力
岩体,引起,重力异常
重力异常,作用于,岩体
重力异常,作用于,石油
重力异常,作用于,石油
重力异常,单位为,g/cm3
重力异常,单位为,g/cm3
重力,作用于,矿体
矿体,引起,重力
重力,作用于,矿体
矿体,引起,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
重力异常,单位为,km
重力,单位为,km
地壳,引起,布格重力异常
布格重力异常,作用于,地壳
布格校正,定义或关联,重力异常
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
沉积岩,引起,重力异常
地壳,引起,重力异常
重力异常,作用于,地壳
重力异常,作用于,沉积岩
重力,作用于,地壳
地壳,引起,重力
重力,单位为,g.u.
重力异常,单位为,g.u.
重力,单位为,g.u.
沉积岩,引起,重力
重力,作用于,沉积岩
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
沉积岩,引起,重力
重力,作用于,沉积岩
重力异常,作用于,矿体
矿体,引起,重力异常
测点,用于修正,重力
重力,作用于,地壳
重力,单位为,km
地壳,引起,重力
重力,作用于,矿体
矿体,引起,重力
测点,用于修正,重力异常
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力
测点,用于修正,重力异常
测点,用于修正,重力
测点,用于修正,重力异常
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
重力,作用于,地壳
地壳,引起,重力
重力异常,单位为,g.u.
重力异常,作用于,地壳
地壳,引起,重力异常
布格重力异常,单位为,g.u.
重力异常,单位为,g.u.
重力异常,单位为,g.u.
重力,作用于,地壳
重力异常,作用于,地壳
地壳,引起,重力异常
地壳,引起,布格重力异常
地壳,引起,重力
布格重力异常,作用于,地壳
重力异常,作用于,地壳
地壳,引起,重力异常
重力,作用于,地壳
地壳,引起,重力
地壳,引起,重力异常
重力异常,作用于,地壳
地壳,引起,布格重力异常
布格重力异常,作用于,地壳
重力异常,单位为,g.u.
重力,单位为,g.u.
重力,作用于,石油
重力,单位为,g.u.
重力,单位为,m/s2
测点,用于修正,重力
重力,作用于,石油
重力,单位为,g/cm3
重力异常,作用于,矿体
矿体,引起,重力异常
重力,作用于,矿体
矿体,引起,重力
重力异常,作用于,矿体
矿体,引起,重力异常
矿体,引起,重力
重力,作用于,岩体
重力,作用于,矿体
重力,作用于,金属矿
岩体,引起,重力
岩体,引起,重力
重力,作用于,岩体
岩体,引起,重力
重力,作用于,岩体
重力,单位为,g/cm3
岩体,引起,重力
重力,作用于,岩体
岩体,引起,重力异常
岩体,引起,重力
重力异常,作用于,岩体
重力,作用于,岩体
岩体,引起,重力
重力,作用于,岩体
岩体,引起,重力
重力,作用于,岩体
重力,作用于,金属矿
重力,作用于,金属矿
重力,作用于,矿体
矿体,引起,重力
重力,作用于,矿体
矿体,引起,重力
重力,单位为,g/cm3
重力,作用于,矿体
矿体,引起,重力
重力异常,作用于,矿体
矿体,引起,重力异常
重力,作用于,矿体
矿体,引起,重力
岩体,引起,重力
重力,作用于,岩体
重力,单位为,g.u.
岩浆,引起,重力
重力,单位为,g.u.
重力,作用于,岩浆
岩浆,引起,重力
重力,单位为,g.u.
重力,作用于,岩浆
岩浆,引起,重力
重力,作用于,岩浆
重力,单位为,km
重力,单位为,g.u.
重力,单位为,km
重力,单位为,km
重力,单位为,g.u.
重力,单位为,g.u.
测点,用于修正,布格重力异常
测点,用于修正,重力
重力,单位为,m/s2
重力,作用于,石油
重力,作用于,金属矿
布格校正,定义或关联,重力
均衡校正,定义或关联,重力
重力异常,作用于,石油
重力,作用于,石油
